WITCH,TIMER/Limits
elpc,Power_Gen_Coal
elpb,Power_Gen_Bio_Trad
elbigcc,Power_Gen_LLF
elcigcc,Power_Gen_Coal
eloil,Power_Gen_HLF
eloil,Power_Gen_LLF
elgas,Power_Gen_NatGas
neloil,End_Use_Transport_Air_Domestic
neloil,End_Use_Transport_Air_LTO
neloil,End_Use_Transport_HLF
neloil,End_Use_Transport_LLF
neloil,End_Use_Residential_HLF
neloil,End_Use_Residential_LLF
neloil,End_Use_Industry_HLF
neloil,End_Use_Industry_LLF
neloil,End_Use_Others_HLF
neloil,End_Use_Others_LLF
neloil,End_Use_Services_HLF
neloil,End_Use_Services_LLF
nelgas,End_Use_Others_NatGas
nelgas,End_Use_Residential_NatGas
nelgas,End_Use_Industry_NatGas
nelgas,End_Use_Transport_NatGas
nelgas,End_Use_Services_NatGas
nelcoal,End_Use_Others_Coal
nelcoal,End_Use_Residential_Coal
nelcoal,End_Use_Industry_Coal
nelcoal,End_Use_Transport_Coal
nelcoal,End_Use_Services_Coal
neltrbiomass,End_Use_Others_Bio_Trad
neltrbiomass,End_Use_Residential_Bio_Trad
neltrbiomass,End_Use_Services_Bio_Trad
neltrbiomass,End_Use_Industry_Bio_Trad
neltrbiofuel,End_Use_Industry_LLF
neltrbiofuel,End_Use_Others_LLF
neltrbiofuel,End_Use_Residential_LLF
neltrbiofuel,End_Use_Services_LLF
trad_cars,End_Use_Transport_HLF
trad_cars,End_Use_Transport_LLF
hybrid,End_Use_Transport_LLF
